,Unnamed: 0,remote_hostname,company,company_website,result
2947,3547,snaptube.in,Snaptube,https://www.snaptube.com/,marketing
649,1449,digiteka.net,Digiteka,https://digiteka.net/,CDN
68,68,vivintsky.com,Vivint,https://www.vivint.com/,marketing
341,1141,meetcircle-blue.co,MeetCircle Blue,https://www.meetcircle.com/,DNS
494,1294,met.no,met.no,https://www.met.no/,{'purpose': 'analytics'}
319,1119,criteo.net,Criteo,https://www.criteo.com/,advertising
3236,675,windowsphone.com,Microsoft Corporation,https://www.microsoft.com/,first-party host
2748,3348,gorillaservers.com,GorillaServers,https://gorillaservers.com/,static server
1878,2478,molotov.tv,Molotov,https://www.molotov.tv/,first-party host
371,1171,nbc.com,NBC Universal,https://www.nbcuniversal.com/,first-party host
1612,2212,herokudns.com,Heroku,https://www.heroku.com/,DNS
2352,2952,bigbend.net,Big Bend Telephone Company,https://bigbend.net/,DNS
2766,3366,infuturo.it,In Futuro,https://www.infuturo.it/,first-party host
1133,1933,vindicosuite.com,Vindico,https://vindicosuite.com/,advertising
3186,625,tapad.com,Tapad,https://www.tapad.com/,advertising
3099,538,flickr.com,Flickr,https://www.flickr.com/,CDN
807,1607,waipu.tv,waipu.tv,https://www.waipu.tv/,streaming service (content delivery)
832,1632,netatmo.com,Netatmo,https://www.netatmo.com/,{'purpose': 'analytics'}
1801,2401,ivaws.com,Amazon Web Services,https://aws.amazon.com/,CDN
852,1652,globalsign.com,GlobalSign,https://www.globalsign.com/,DNS
446,1246,bbox.fr,CDN77,https://www.cdn77.com/,CDN
3195,634,synology.com,Synology,https://www.synology.com/,static server
1103,1903,marketo.net,Marketo,https://www.marketo.com/,marketing
686,1486,abine.com,Abine,https://www.abine.com/,marketing
1533,2133,hypixel.net,Hypixel Studios,https://hypixelstudios.com/,first-party host
1398,398,hotspotproxy.xyz,Unknown,Unknown,It is not possible to determine the purpose of the URL without additional information.
2539,3139,ip-198-245-61.net,Static Server,https://en.wikipedia.org/wiki/Web_server,The provided URL is likely serving static content from a web server.
